Inventaire;Cote;Rubrique;Genre;Titre;SousTitre;ISBN;Auteur;Illustrateur;Annee;Editeur;Collection;Numero;Support;Mots-clefs;Niveau;Description;Taille;Date achat;Financement;Empruntable
2754;800.000;Lire des histoires;Bandes dessinées;Marie Frisson, tome 2;Tombe la neige;2-7234-3143-6;Baptizat (Eric);Supiot (Olivier);2000;Glenat;Marie frisson;"";Livre;histoire d'enfants;Elémentaire;"";48 pages;"";"";Oui
2755;690.000;Bâtiment;Bandes dessinées;AmuseDoc et les maisons du monde;"";9-782081-610491;Petit (Jeanne);Veillon (Béatrice);2001;Flammarion;Pere castor;"";Livre;maison;Elémentaire;Ce sixième titre de la collection Amuse Doc invite le lecteur à visiter les différentes maisons du monde. A travers 6 tableaux, il découvrira les habitations de certaines populations des 5 continents, ainsi qu'une scène de la vie des autochtones. Dans la première double page, on regarde, on cherche, on trouve... grâce à une multitude de jeux variés qui permettent d'observer l'image dans ses moindres détails. Dans la double page suivante, des zooms sur cette même image illustrent des informations ponctuelles et apportent une note documentaire. 6 thèmes : - Près des villes - Le désert - Sur l'eau - Dans le froid - Dans la brousse - Au milieu des gratte-ciel;27 pages;"";"";Oui
2756;800.000;Lire des histoires;Bandes dessinées;Sac à puces;Super maman;9-782800-128580;De Brab;"";1999;Dupuis;"";1;Livre;chien : élevage;Cycle 3;Branle-bas de combat chez les Duchêne : la maman de Margot attend un bébé. Quelle affaire pour cette famille nombreuse et turbulente de six enfants ! Six enfants... et un chien clandestin. Car Sac à Puces n'est pas le bienvenu dans la maison (ce qui ne l'empêche pas d'y dormir tous les soirs). Attention, les catastrophes ne font que commencer...;46;"";"";Oui
2757;"";Lire des histoires;Bandes dessinées;Envies de Bonbons;"";9-782082-009485;Girard-Lagorce (Sylvie);"";"";Flammarion;"";"";Livre;confiserie;Cycle 3;"";"";"";"";Oui
2758;800.000;Lire des histoires;Album;L'album des contraires;"";9-782878-330113;Spier (Peter);Spier (Peter);1999;Circonflexe;Aux couleurs du monde;"";Livre;langage, illustration;Cycle 1;Plus de 500 illustrations, une grande rigueur, des rapprochements et des oppositions alliant insolite et démarche pédagogique permettent à l'enfant de découvrir et de maîtriser les notions de base : grand-petit, haut-bas, ouvert-fermé, pareil-différent... Chaque page (ou double-page) est consacrée à deux notions opposées dont la variété des dessins illustre la diversité des sens.;"";"";"";Oui
2759;800.000;Lire des histoires;Album;A l'orée de la forêt;"";9-782211-049481;Firth (Barbara);London (Jonathan);1998;Ecole des loisirs;Archimède;"";Livre;histoire d'enfants, forêt;Elémentaire;Les moutons ont gagné la bergerie pour l'hiver. Le fils du fermier remarque des empreintes dans la neige. Il surveille et aperçoit un coyote en quête de sa pitance. Le printemps venu, un mouton disparaît. Armé de son fusil, le fermier suit les traces et trouve les coupables, un couple de coyotes. Alors qu'il s'apprête à tirer, quatre petits sortent des fourrés. Au grand plaisir de son fils, il retient son geste. Plutôt que de les tuer, un bon chien de berger fera l'affaire. De belles illustrations au plomb et à l'aquarelle et surtout une morale pleine de sagesse et de bon sens.;"";"";"";Oui
2760;800.000;Lire des histoires;Bandes dessinées;Samson et Néon;"";9-782723-444941;Tébo;"";"";Glenat;"";"";Livre;bande dessinée;Elémentaire;"";"";"";"";Oui
2761;800.000;Lire des histoires;Bandes dessinées;Mademoiselle Louise;Cher petit trésor;9-782800-141381;Geerts (André);"";"";Dupuis;Premiers livres Dupuis;"";Livre;bande dessinée;Elémentaire;"";"";"";"";Oui
2762;800.000;Lire des histoires;Bandes dessinées;Sardine de l'Espace;La grande Sardine;9-782747-008921;Guibert (Emmanuel);"";"";Bayard poche;"";"";Livre;bande dessinée;Elémentaire;"";"";"";"";Oui
2763;599.600;Herbivores;Bandes dessinées;Chevaux et poneys;"";9-782035-530912;Guibert (Françoise de);Rodriguez (Béatrice);2004;Larousse;Mes petites encyclopédies;"";Livre;cheval : zoologie, comportemen;Cycle 1;Un texte court et très accessible donnant quelques informations sommaires accompagnées d'illustrations jolies et amusantes; pour se détendre autant que pour apprendre, à l'intention des plus jeunes.   ;40 pages;"";"";Oui
2764;"";Herbivores;Bandes dessinées;Marie Frisson;Il est revenu le temps du Muguet;9-782723-429030;Baptizat;"";"";Glenat;Marie frisson;"";Livre;bande dessinée;Cycle 1;"";"";"";"";Oui
2765;800.000;Lire des histoires;Bandes dessinées;Marie Frisson : retiens la nuit;"";9-782723-434898;Baptizat (Eric);Supiot (Olivier);2001;Glenat;"";3;Livre;bande dessinée;Cycle 2;Fantômes, vieilles momies et monstres suceurs de têtes partagent le quotidien de Marie... Ce n'est pas facile tous les jours d'être une petite fille rêveuse au milieu de ces affreux. Mais lorsqu'on connaît mieux les Znous, les Chtocs ou l'Ogre végétarien, on s'aperçoit qu'ils sont plutôt sympas. "Marie Frisson" nous emmène dans un pays hanté par toutes sortes de monstres qui ne l'effraient pas, bien au contraire ! Cette petite fille haute comme trois pommes possède un caractère de peste super mimi et mène tout ce petit monde à la baguette. Un personnage craquant, un pays merveilleux, le tout servi par un dessin original et poétique, font de "Marie Frisson" une bande dessinée charmeuse et drôlement frissonnante, entre Tim Burton et Alice au pays des merveilles. Voici déjà le troisième album de la petite Marie, de plus en plus craquante...;48 pages;"";"";Oui
2766;"";Lire des histoires;Bandes dessinées;Drôle de Gym;Exercices pour jouer en famille;9-782082-002721;Woolf (Vicki);"";"";Flammarion;"";"";Livre;gymnastique;Cycle 2;"";"";"";"";Oui
2767;800.000;Lire des histoires;Romans et nouvelles;La visite de petite mort;"";9-782211-071321;Crowther (Kitty);"";2004;Ecole des loisirs;Pastel;"";Livre;maladie, sentiment;Elémentaire;Petite Mort se désole: les gens qu’elle emmène au royaume de la Mort sont tristes. Ils soupirent, ils ont froid. Jamais personne ne lui parle... Jusqu’au soir où Petite Mort vient chercher Elsewise. La fillette l’accueille avec joie: «Enfin, vous êtes là!» s’écrie-t-elle en souriant.;24 pages;"";"";Oui
2768;800.000;Lire des histoires;Bandes dessinées;Peanuts;Ambiance d'Automne;2-258-04931-8;Schulz;"";"";Hors Collection;"";"";Livre;bande dessinée;Elémentaire;"";"";"";"";Oui
2769;"";Lire des histoires;Bandes dessinées;Comment j'ai appris la Géographie;"";"";Shulevitz (Uri);"";"";Kaleidoscope;"";"";Livre;géographie;Elémentaire;"";"";"";"";Oui
2770;"";Lire des histoires;Bandes dessinées;Youpi J'ai compris;Visite la cabane du castor;"";"";"";"";Bayard;"";"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2771;"";Lire des histoires;Bandes dessinées;Youpi J'ai compris;Pourquoi n'est-on pas de la même couleur ?;"";"";"";"";Bayard;"";"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2772;"";Lire des histoires;Bandes dessinées;Youpi J'ai compris;Il était une fois Cléopatre reine d'Egypte;"";"";"";"";Bayard;"";"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2773;"";Lire des histoires;Bandes dessinées;Youpi J'ai compris;Spécial ours;"";"";"";"";Bayard;"";"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2774;"";Lire des histoires;Bandes dessinées;Youpi J'ai compris;Joyeux Noël !;"";"";"";"";Bayard;"";"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2775;"";Lire des histoires;Bandes dessinées;Youpi J'ai compris;Nos amies les petites bêtes;"";"";"";"";Bayard;"";"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2776;"";Lire des histoires;Bandes dessinées;Youpi J'ai compris;Il était une fois le Roi-Soleil;"";"";"";"";Bayard;"";"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2777;"";Lire des histoires;Bandes dessinées;Youpi J'ai compris;Bientôt Noël;"";"";"";"";Bayard;"";"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2778;"";Lire des histoires;Bandes dessinées;Youpi J'ai compris;Joyeux Noël !;"";"";"";"";Bayard;"";"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2779;"";Lire des histoires;Bandes dessinées;Youpi J'ai compris;Sur les pas du chat !;"";"";"";"";Bayard;"";"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2780;"";Lire des histoires;Bandes dessinées;Youpi J'ai compris;L'eau c'est la vie !;"";"";"";"";Bayard;"";"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2781;"";Lire des histoires;Bandes dessinées;Youpi J'ai compris;A la découverte des hommes préhistoriques;"";"";"";"";Bayard;"";"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2782;"";Lire des histoires;Bandes dessinées;Youpi J'ai compris;Au temps des Indiens;"";"";"";"";Bayard;"";"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2783;"";Lire des histoires;Bandes dessinées;Youpi J'ai compris;Il était une fois Frédéric Chopin;"";"";"";"";Bayard;"";"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2784;"";Lire des histoires;Bandes dessinées;Youpi J'ai compris;Mais qui a inventé l'heure ?;"";"";"";"";Bayard;"";"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2785;"";Lire des histoires;Bandes dessinées;Youpi J'ai compris;Au temps des chevaliers;"";"";"";"";Bayard;"";"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2787;"";Lire des histoires;Bandes dessinées;Youpi J'ai compris;Trop belle la nature !;"";"";"";"";Bayard;"";"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2788;"";Lire des histoires;Bandes dessinées;Youpi J'ai compris;Découvre la vie d'un chien sauveteur;"";"";"";"";Bayard;"";"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2789;"";Lire des histoires;Bandes dessinées;Youpi J'ai compris;J'aime ma planète;"";"";"";"";Bayard;"";"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2790;"";Lire des histoires;Bandes dessinées;Youpi J'ai compris;Vive l'été !;"";"";"";"";Bayard;"";"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2792;"";Lire des histoires;Bandes dessinées;Youpi J'ai compris;Ils ont marché sur la Lune;"";"";"";"";Bayard;"";"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2793;"";Lire des histoires;Bandes dessinées;Youpi J'ai compris;Les Vikings attaquent !;"";"";"";"";Bayard;"";"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2794;"";Lire des histoires;Bandes dessinées;Youpi J'ai compris;Comment les animaux se lavent-ils ?;"";"";"";"";Bayard;"";"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2795;"";Lire des histoires;Bandes dessinées;POMME D'API;C'est bientôt Noël ?;"";"";"";"";Bayard;Pomme d'api;"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2796;"";Lire des histoires;Bandes dessinées;POMME D'API;Joyeux Noël !;"";"";"";"";Bayard;Pomme d'api;"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2797;"";Lire des histoires;Bandes dessinées;POMME D'API;Je suis une grande !;"";"";"";"";Bayard;Pomme d'api;"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2798;"";Lire des histoires;Bandes dessinées;POMME D'API;C'est le printemps ! On se roule dans l'herbe !;"";"";"";"";Bayard;Pomme d'api;"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2799;"";Lire des histoires;Bandes dessinées;POMME D'API;Salut les petits malins !;"";"";"";"";Bayard;Pomme d'api;"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2800;"";Lire des histoires;Bandes dessinées;POMME D'API;Pleins de recettes gourmandes pour le goûter;"";"";"";"";Bayard;Pomme d'api;"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2801;"";Lire des histoires;Bandes dessinées;POMME D'API;Ca sent bon la rentrée....;"";"";"";"";Bayard;Pomme d'api;"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2802;"";Lire des histoires;Bandes dessinées;POMME D'API;Dans mon jardin y'a pleins de trésors;"";"";"";"";Bayard;Pomme d'api;"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2803;"";Lire des histoires;Bandes dessinées;POMME D'API;En avant la musique !;"";"";"";"";Bayard;Pomme d'api;"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2804;"";Lire des histoires;Bandes dessinées;POMME D'API;Frères et soeurs, quel bonheur !;"";"";"";"";Bayard;Pomme d'api;"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2805;"";Lire des histoires;Bandes dessinées;POMME D'API;C'est l'été ! prom'nons-nous dans les prés;"";"";"";"";Bayard;Pomme d'api;"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2806;"";Lire des histoires;Bandes dessinées;POMME D'API;Moi, j'adore mon papa et ma maman;"";"";"";"";Bayard;Pomme d'api;"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2807;"";Lire des histoires;Bandes dessinées;POMME D'API;Tout doux petit chat;"";"";"";"";Bayard;Pomme d'api;"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2808;"";Lire des histoires;Bandes dessinées;POMME D'API;A table !;"";"";"";"";Bayard;Pomme d'api;"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2809;"";Lire des histoires;Bandes dessinées;POMME D'API;C'est beau la neige !;"";"";"";"";Bayard;Pomme d'api;"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2810;"";Lire des histoires;Bandes dessinées;POMME D'API;En route pour l'école !;"";"";"";"";Bayard;Pomme d'api;"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2811;"";Lire des histoires;Bandes dessinées;POMME D'API;Vive les papas !;"";"";"";"";Bayard;Pomme d'api;"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2812;"";Lire des histoires;Bandes dessinées;POMME D'API;Le printemps, ça s'arrose !;"";"";"";"";Bayard;Pomme d'api;"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2813;"";Lire des histoires;Bandes dessinées;POMME D'API;Vive le vent.....;"";"";"";"";Bayard;Pomme d'api;"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2814;"";Lire des histoires;Bandes dessinées;POMME D'API;C'est les vacances !;"";"";"";"";Bayard;Pomme d'api;"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2815;"";Lire des histoires;Bandes dessinées;POMME D'API;Les vacances, quelle aventure !;"";"";"";"";Bayard;Pomme d'api;"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2816;"";Lire des histoires;Bandes dessinées;POMME D'API;Joyeux Noël... Viens préparer Noël avec nous !;"";"";"";"";Bayard;Pomme d'api;"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2817;"";Lire des histoires;Bandes dessinées;POMME D'API;Et si on faisait la Fête ?;"";"";"";"";Bayard;Pomme d'api;"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2818;"";Lire des histoires;Bandes dessinées;POMME D'API;C'est bientôt Noël !;"";"";"";"";Bayard;Pomme d'api;"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2819;"";Lire des histoires;Bandes dessinées;POMME D'API;Ca y est je suis grande !;"";"";"";"";Bayard;Pomme d'api;"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2820;"";Lire des histoires;Bandes dessinées;POMME D'API;C'est le printemps, on sort !;"";"";"";"";Bayard;Pomme d'api;"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2821;"";Lire des histoires;Bandes dessinées;POMME D'API;Attention je t'arrose !;"";"";"";"";Bayard;Pomme d'api;"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2822;"";Lire des histoires;Bandes dessinées;POMME D'API;Vive les couleurs...;"";"";"";"";Bayard;Pomme d'api;"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2823;"";Lire des histoires;Bandes dessinées;POMME D'API;Vive les vacances avec Sam Sam !;"";"";"";"";Bayard;Pomme d'api;"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2824;"";Lire des histoires;Bandes dessinées;POMME D'API;La belle histoire du p'tit écureuil;"";"";"";"";Bayard;Pomme d'api;"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2825;"";Lire des histoires;Bandes dessinées;POMME D'API;C'est beau la neige !;"";"";"";"";Bayard;Pomme d'api;"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2826;"";Lire des histoires;Bandes dessinées;POMME D'API;Vive la famille !;"";"";"";"";Bayard;Pomme d'api;"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2827;"";Lire des histoires;Bandes dessinées;POMME D'API;On est les champions !;"";"";"";"";Bayard;Pomme d'api;"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2828;"";Lire des histoires;Bandes dessinées;Astrapi;Une journée à Athènes avec Elias;"";"";"";"";Bayard;"";"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2829;"";Lire des histoires;Bandes dessinées;Astrapi;Protégeons la Terre !;"";"";"";"";Bayard;"";"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2830;"";Lire des histoires;Bandes dessinées;Astrapi;Comment devient-on président (e) ?;"";"";"";"";Bayard;"";"";Périodique;rien;Elémentaire;"";"";"";"";Oui
2831;"";Lire des histoires;Bandes dessinées;Le mariage de Simon;"";978-2-211-20679-2;Desarthe (Agnés);Vaugelade (Anaïs);2012;Ecole des loisirs;Histoires en images;"";Livre;mariage;Elémentaire;"";"";"";"";Oui
2832;"";Lire des histoires;Bandes dessinées;Haut les Pattes !;"";978-2-211-20661-7;Valckx (Catharina);"";2012;L'école des loisirs;Album;"";Livre;conquête de l'ouest;Elémentaire;"";"";"";"";Oui
2833;"";Lire des histoires;Bandes dessinées;L'herbe verte du Groenland;Les vikings au Xe siècle;978-2-211-20696-9;Guyon (Thibaud);Guyon (Thibaud);2012;L'école des loisirs;Album;"";Livre;histoire;Elémentaire;"";"";"";"";Oui
2835;800.000;Lire des histoires;Album;Pôle nord pôle sud;"";9782226064325;Duquennoy (Jacques);"";2000;Albin Michel Jeunesse;Zéphyr;"";Livre;histoire d'animaux, sentiment,;Cycle 1;Plonge-bien le pingouin invite son cousin Nage-Vite le manchot au pôle Nord. Nage-Vite construit un bateau et se met en route. Une trame très simple, peu de texte et de jolies illustrations naïves.;52 pages;"";"";Oui
2836;"";Lire des histoires;Album;La journée du petit écureuil;Bonjour !;9782244420011;Barbetti (Yvette);"";"";Lito;"";"";Livre;forêt;Cycle 1;"";"";"";"";Oui
2837;"";Lire des histoires;Album;Astrapi;Les mystères de ton corps;"";"";"";"";Bayard;"";"";Périodique;rien;Cycle 1;"";"";"";"";Oui
2838;"";Lire des histoires;Album;Astrapi;Crounch ! Crounch !;"";"";"";"";Bayard;"";"";Périodique;rien;Cycle 1;"";"";"";"";Oui
2834;"";Lire des histoires;Album;Les super-héros n'ont pas le vertige;"";978-2-211-20699-0;Gutman (Colas);"";"";Ecole des  loisirs;Maximax;"";Livre;roman;Cycle 1;"";"";"";"";Oui
2839;"";Lire des histoires;Album;Le grand livre des Bolkodaz;"";978-2-211-20681-5;Mounier (Fabienne);"";"";Ecole des  loisirs;Animax;"";Livre;roman;Cycle 1;"";"";"";"";Oui
2840;"";Lire des histoires;Album;TOTO;L'ornithorynque et l'arbre magique;978-2-211-20663-1;Omond (Eric);"";"";Ecole des  loisirs;"";"";Livre;bande dessinée;Cycle 1;"";"";"";"";Oui
2841;"";Lire des histoires;Album;Vladimir Sergueïevitch;La quête héroïque du mangeur de pommes;978-2-211-20701-0;Sylvander (Mathieu);"";"";Ecole des  loisirs;Maximax;"";Livre;roman;Cycle 1;"";"";"";"";Oui
2842;"";Lire des histoires;Album;Bih-Bih et le Bouffron-Gouffron;"";978-2-211-20665-5;Ponti (Claude);"";"";Ecole des  loisirs;Animax;"";Livre;légende;Cycle 1;"";"";"";"";Oui
2843;"";Lire des histoires;Album;L'histoire de France en BD;"";978-2-211-20683-9;Joly (Dominique);"";"";Ecole des  loisirs;Animax;"";Livre;bande dessinée;Cycle 1;"";"";"";"";Oui
2844;"";Lire des histoires;Album;J'aime lire;Une grand-mère au grand coeur;"";"";"";"";Bayard;J'aime lire;"";Périodique;rien;Cycle 1;"";"";"";"";Oui
2845;"";Lire des histoires;Album;J'aime lire;Une grand-mère au grand coeur;"";"";"";"";Bayard;J'aime lire;"";Périodique;rien;Cycle 1;"";"";"";"";Oui
2846;"";Lire des histoires;Album;J'aime lire;Une grand-mère au grand coeur;"";"";"";"";Bayard;J'aime lire;"";Périodique;rien;Cycle 1;"";"";"";"";Oui
2847;"";Lire des histoires;Album;J'aime lire;Une grand-mère au grand coeur;"";"";"";"";Bayard;J'aime lire;"";Périodique;rien;Cycle 1;"";"";"";"";Oui
2848;"";Lire des histoires;Album;J'aime lire;Une grand-mère au grand coeur;"";"";"";"";Bayard;J'aime lire;"";Périodique;rien;Cycle 1;"";"";"";"";Oui
2849;"";Lire des histoires;Album;J'aime lire;Une grand-mère au grand coeur;"";"";"";"";Bayard;J'aime lire;"";Périodique;rien;Cycle 1;"";"";"";"";Oui
2850;"";Lire des histoires;Album;Les Dauphins;L'imagerie animale;"";Beaumont (Emilie);"";"";Fleurus;L'imagerie animale;"";Livre;dauphin;Cycle 1;"";"";"";"";Oui
82;"";Lire des histoires;Album;Les p'tites sorcières n°66;"";"";"";"";2005;Fleurus;Les p'tites princesses;66;Périodique;rien;Cycle 1;"";"";"";"";Oui
86;"";Lire des histoires;Album;Les p'tites sorcières n°84;"";"";"";"";2007;Fleurus;Les p'tites princesses;84;Périodique;rien;Cycle 1;"";"";"";"";Oui
125;"";Lire des histoires;Album;Les p'tites sorcières n°75;"";"";"";"";2006;Fleurus;Les p'tites sorcières;75;Périodique;rien;Cycle 1;"";"";"";"";Oui
157;"";Lire des histoires;Album;Les p'tites sorcières n°76;"";"";"";"";2006;Fleurus;Les p'tites sorcières;76;Périodique;rien;Cycle 1;"";"";"";"";Oui
168;"";Lire des histoires;Album;Les p'tites sorcières n°78;"";"";"";"";2006;Fleurus;Les p'tites sorcières;78;Périodique;rien;Cycle 1;"";"";"";"";Oui
185;"";Lire des histoires;Album;Les p'tites sorcières n°87;"";"";"";"";2007;Fleurus;Les p'tites sorcières;87;Périodique;rien;Cycle 1;"";"";"";"";Oui
197;"";Lire des histoires;Album;Les p'tites sorcières n°57;"";"";"";"";2004;Fleurus;Les p'tites sorcières;57;Périodique;rien;Cycle 1;"";"";"";"";Oui
267;"";Lire des histoires;Album;Les p'tites sorcières n°61;"";"";"";"";2005;Fleurus;Les p'tites sorcières;61;Périodique;rien;Cycle 1;"";"";"";"";Oui
291;"";Lire des histoires;Album;Les p'tites sorcières n°74;"";"";"";"";2006;Fleurus;Les p'tites sorcières;74;Périodique;rien;Cycle 1;"";"";"";"";Oui
297;"";Lire des histoires;Album;Les p'tites sorcières n°57;"";"";"";"";2004;Fleurus;Les p'tites sorcières;57;Périodique;rien;Cycle 1;"";"";"";"";Oui
366;"";Lire des histoires;Album;Les p'tites sorcières n°79;"";"";"";"";2006;Fleurus;Les p'tites sorcières;79;Périodique;rien;Cycle 1;"";"";"";"";Oui
403;"";Lire des histoires;Album;Les p'tites sorcières n°60;"";"";"";"";2005;Fleurus;Les p'tites sorcières;60;Périodique;rien;Cycle 1;"";"";"";"";Oui
406;"";Lire des histoires;Album;Les p'tites sorcières n°82;Joue à la voyante !;"";"";"";2007;Fleurus presse;"";"";Périodique;rien;Cycle 1;"";"";"";"";Oui
429;"";Lire des histoires;Album;Les p'tites sorcières n°58;Passion cheval;"";"";"";2004;Fleurus presse;"";"";Périodique;rien;Cycle 1;"";"";"";"";Oui
520;"";Lire des histoires;Album;Les p'tites sorcières n°37;Vive noël;"";"";"";2002;Fleurus presse;"";"";Périodique;rien;Cycle 1;"";"";"";"";Oui
522;"";Lire des histoires;Album;Les p'tites sorcières n°70;Un noël de rêve !;"";"";"";2005;Fleurus presse;"";"";Périodique;rien;Cycle 1;"";"";"";"";Oui
635;"";Lire des histoires;Album;Les p'tites sorcières n°65;Au pays des Mangas;"";"";"";2005;Fleurus presse;"";"";Périodique;rien;Cycle 1;"";"";"";"";Oui
1252;"";Lire des histoires;Album;Les p'tites sorcières n°67;La rentrée des p'tites sorcières;"";"";"";2005;Fleurus presse;"";"";Périodique;rien;Cycle 1;"";"";"";"";Oui
1337;"";Lire des histoires;Album;Les p'tites sorcières n°59;Un noël vraiment givré !;"";"";"";2004;Fleurus presse;"";"";Périodique;rien;Cycle 1;"";"";"";"";Oui
1360;"";Lire des histoires;Album;Les p'tites sorcières n°24;Spécial Halloween;"";"";"";2001;Fleurus presse;"";"";Périodique;rien;Cycle 1;"";"";"";"";Oui
1108;"";Lire des histoires;Album;Ludo;Enquêtes et squelettes;9782211203449;Bailly Mathy Lapière;"";"";Ecole des  loisirs;"";"";Livre;bande dessinée;Cycle 1;"";"";"";"";Oui
1396;"";Lire des histoires;Album;Les Petits Bobos;Aïe, ça fait mal aux yeux;978-2-215-10635-7;E.Beaumont;"";"";Fleurus;"";"";Livre;éducation;Cycle 1;"";"";"";"";Oui
1551;"";Lire des histoires;Album;Les Petits Bobos;Aïe, ça coupe;"";E.Beaumont;"";"";Fleurus;"";"";Livre;éducation;Cycle 1;"";"";"";"";Oui
1755;"";Lire des histoires;Album;Les Petits Bobos;Aïe, ça brûle;"";E.Beaumont;"";"";Fleurus;"";"";Livre;éducation;Cycle 1;"";"";"";"";Oui
1762;525.000;Terre - Saisons - Marées;Album;Le printemps;"";2-84526-165-9;Collectif;"";2001;P.E.M.F.;"";"";Livre;printemps, saison;Cycle 2;Pour chacune des saisons, connaître ses caractéristiques tant sur le point de vue de l'évolution de la nature que de la météorologie ; découvrir la vie animale (l'hibernation et la migration en hiver), la végétation (les fleurs au printemps), les travaux d'agriculture (la moisson en été) et les temps forts qui la caractérisent (la rentrée des classes en automne). Apprendre ce qui se passe au même moment de l'autre côté de l'équateur dans les pays non tempérés, mais aussi lire un poème et bricoler en fonction de la saison.;23 pages;"";"";Oui
1840;525.000;Terre - Saisons - Marées;Album;L'été;"";2-84526-166-7;Collectif;"";2001;P.E.M.F.;"";"";Livre;été, saison;Cycle 2;Pour chacune des saisons, connaître ses caractéristiques tant sur le point de vue de l'évolution de la nature que de la météorologie ; découvrir la vie animale (l'hibernation et la migration en hiver), la végétation (les fleurs au printemps), les travaux d'agriculture (la moisson en été) et les temps forts qui la caractérisent (la rentrée des classes en automne). Apprendre ce qui se passe au même moment de l'autre côté de l'équateur dans les pays non tempérés, mais aussi lire un poème et bricoler en fonction de la saison.;23 pages;"";"";Oui
1856;525.000;Terre - Saisons - Marées;Album;L'hiver;"";2-84526-168-3;Collectif;"";2001;P.E.M.F.;"";"";Livre;été, saison;Cycle 2;Pour chacune des saisons, connaître ses caractéristiques tant sur le point de vue de l'évolution de la nature que de la météorologie ; découvrir la vie animale (l'hibernation et la migration en hiver), la végétation (les fleurs au printemps), les travaux d'agriculture (la moisson en été) et les temps forts qui la caractérisent (la rentrée des classes en automne). Apprendre ce qui se passe au même moment de l'autre côté de l'équateur dans les pays non tempérés, mais aussi lire un poème et bricoler en fonction de la saison.;23 pages;"";"";Oui
2443;525.000;Terre - Saisons - Marées;Album;L'automne;"";2-84526-167.5;Collectif;"";2001;P.E.M.F.;"";"";Livre;été, saison;Cycle 2;Pour chacune des saisons, connaître ses caractéristiques tant sur le point de vue de l'évolution de la nature que de la météorologie ; découvrir la vie animale (l'hibernation et la migration en hiver), la végétation (les fleurs au printemps), les travaux d'agriculture (la moisson en été) et les temps forts qui la caractérisent (la rentrée des classes en automne). Apprendre ce qui se passe au même moment de l'autre côté de l'équateur dans les pays non tempérés, mais aussi lire un poème et bricoler en fonction de la saison.;23 pages;"";"";Oui
2445;597.800;Batraciens;Album;La grenouille;"";2-7459-1154-6;Fradin (Natacha);"";2003;Milan;A quatre pattes;"";Livre;grenouille, batracien;Elémentaire;"";22 pages;"";"";Oui
