dc.title,dc.identifier,dc.creator,dc.contributor,dc.subject,dc.description,dc.publisher,dc.date,dc.type,dc.format,dc.source,dc.relation,dc.coverage,dc.rights,item.id,item.callNumber,item.acquisitionDate,item.fundingSource
Toutàlire n° 25,,,,rien,,Milan presse,,Text;Periodical,,Toutàlire,25,Cycle 2,Loanable,1951,,,
Toutàlire n° 26,,,,rien,,Milan presse,,Text;Periodical,,Toutàlire,26,Cycle 2,Loanable,1952,,,
Toutàlire n° 27,,,,rien,,Milan presse,,Text;Periodical,,Toutàlire,27,Cycle 2,Loanable,1953,,,
Toutàlire n° 28,,,,rien,,Milan presse,,Text;Periodical,,Toutàlire,28,Cycle 2,Loanable,1954,,,
D Lire n° 75,,,,rien,,Bayard,,Text;Periodical,,D Lire,75,Cycle 2,Loanable,1955,,,
D Lire n° 76,,,,rien,,Bayard,,Text;Periodical,,,76,Cycle 2,Loanable,1956,,,
D Lire n° 77,,,,rien,,Bayard,,Text;Periodical,,,77,Cycle 2,Loanable,1957,,,
D Lire n° 78,,,,rien,,Bayard,,Text;Periodical,,,78,Cycle 2,Loanable,1958,,,
D Lire n° 79,,,,rien,,Bayard,,Text;Periodical,,,79,Cycle 2,Loanable,1959,,,
D Lire n° 80,,,,rien,,Bayard,,Text;Periodical,,,80,Cycle 2,Loanable,1960,,,
D Lire n° 81,,,,rien,,Bayard,,Text;Periodical,,,81,Cycle 2,Loanable,1961,,,
D Lire n° 82,,,,rien,,Bayard,,Text;Periodical,,,82,Cycle 2,Loanable,1962,,,
D Lire n° 84,,,,rien,,Bayard,,Text;Periodical,,,84,Cycle 2,Loanable,1963,,,
D Lire n° 85,,,,rien,,Bayard,,Text;Periodical,,,85,Cycle 2,Loanable,1964,,,
D Lire n° 86,,,,rien,,Bayard,,Text;Periodical,,,86,Cycle 2,Loanable,1965,,,
D Lire n° 88,,,,rien,,Bayard,,Text;Periodical,,,88,Cycle 2,Loanable,1966,,,
D Lire n° 89,,,,rien,,Bayard,,Text;Periodical,,,89,Cycle 2,Loanable,1967,,,
D Lire n° 90,,,,rien,,Bayard,,Text;Periodical,,,90,Cycle 2,Loanable,1968,,,
D Lire n° 91,,,,rien,,Bayard,,Text;Periodical,,,91,Cycle 2,Loanable,1969,,,
D Lire n° 92,,,,rien,,Bayard,,Text;Periodical,,,92,Cycle 2,Loanable,1970,,,
D Lire n° 93,,,,rien,,Bayard,,Text;Periodical,,,93,Cycle 2,Loanable,1971,,,
D Lire n° 95,,,,rien,,Bayard,,Text;Periodical,,,95,Cycle 2,Loanable,1972,,,
D Lire n° 96,,,,rien,,Bayard,,Text;Periodical,,,96,Cycle 2,Loanable,1973,,,
D Lire n° 97,,,,rien,,Bayard,,Text;Periodical,,,97,Cycle 2,Loanable,1974,,,
D Lire n° 98,,,,rien,,Bayard,,Text;Periodical,,,98,Cycle 2,Loanable,1975,,,
D Lire n° 99,,,,rien,,Bayard,,Text;Periodical,,,99,Cycle 2,Loanable,1976,,,
D Lire n° 83,,,,rien,,Bayard,,Text;Periodical,,,83,Cycle 2,Loanable,1977,,,
Arkéo junior n° 2,,,,rien,,Arkéo,,Text;Periodical,,,2,Cycle 2,Loanable,1978,,,
Arkéo junior n° 3,,,,rien,,Arkéo,,Text;Periodical,,,3,Cycle 2,Loanable,1979,,,
Arkéo junior n° 15,,,,rien,,Arkéo,,Text;Periodical,,,15,Cycle 2,Loanable,1980,,,
Arkéo junior n° 16,,,,rien,,Arkéo,,Text;Periodical,,,16,Cycle 2,Loanable,1981,,,
Arkéo junior n° 17,,,,rien,,Arkéo,,Text;Periodical,,,17,Cycle 2,Loanable,1982,,,
Arkéo junior n° 18,,,,rien,,Arkéo,,Text;Periodical,,,18,Cycle 2,Loanable,1983,,,
Arkéo junior n° 19,,,,rien,,Arkéo,,Text;Periodical,,,19,Cycle 2,Loanable,1984,,,
Arkéo junior n° 20,,,,rien,,Arkéo,,Text;Periodical,,,20,Cycle 2,Loanable,1985,,,
Arkéo junior n° 20,,,,rien,,Arkéo,,Text;Periodical,,,20,Cycle 2,Loanable,1986,,,
Arkéo junior n° 21,,,,rien,,Arkéo,,Text;Periodical,,,21,Cycle 2,Loanable,1987,,,
Arkéo junior n° 22,,,,rien,,Arkéo,,Text;Periodical,,,22,Cycle 2,Loanable,1988,,,
Arkéo junior n° 24,,,,rien,,Arkéo,,Text;Periodical,,,24,Cycle 2,Loanable,1989,,,
Arkéo junior n° 25,,,,rien,,Arkéo,,Text;Periodical,,,25,Cycle 2,Loanable,1990,,,
Arkéo junior n° 26,,,,rien,,Arkéo,,Text;Periodical,,,26,Cycle 2,Loanable,1991,,,
Arkéo junior n° 27,,,,rien,,Arkéo,,Text;Periodical,,,27,Cycle 2,Loanable,1992,,,
Arkéo junior n° 28,,,,rien,,Arkéo,,Text;Periodical,,,28,Cycle 2,Loanable,1993,,,
Arkéo junior n° 29,,,,rien,,Arkéo,,Text;Periodical,,,29,Cycle 2,Loanable,1994,,,
Arkéo junior n° 30,,,,rien,,Arkéo,,Text;Periodical,,,30,Cycle 2,Loanable,1995,,,
Arkéo junior n° 31,,,,rien,,Arkéo,,Text;Periodical,,,31,Cycle 2,Loanable,1996,,,
Arkéo junior n° 33,,,,rien,,Arkéo,,Text;Periodical,,,33,Cycle 2,Loanable,1997,,,
Arkéo junior n° 34,,,,rien,,Arkéo,,Text;Periodical,,,34,Cycle 2,Loanable,1998,,,
Arkéo junior n° 35,,,,rien,,Arkéo,,Text;Periodical,,,35,Cycle 2,Loanable,1999,,,
Arkéo junior n° 37,,,,rien,,Arkéo,,Text;Periodical,,,37,Cycle 2,Loanable,2015,,,
Arkéo junior n° 38,,,,rien,,Arkéo,,Text;Periodical,,,38,Cycle 2,Loanable,2041,,,
Arkéo junior n° 39,,,,rien,,Arkéo,,Text;Periodical,,,39,Cycle 2,Loanable,2073,,,
Arkéo junior n° 40,,,,rien,,Arkéo,,Text;Periodical,,,40,Cycle 2,Loanable,2078,,,
Arkéo junior n° 41,,,,rien,,Arkéo,,Text;Periodical,,,41,Cycle 2,Loanable,2085,,,
Arkéo junior n° 42,,,,rien,,Arkéo,,Text;Periodical,,,42,Cycle 2,Loanable,2086,,,
Arkéo junior n° 43,,,,rien,,Arkéo,,Text;Periodical,,,43,Cycle 2,Loanable,2090,,,
Arkéo junior n° 44,,,,rien,,Arkéo,,Text;Periodical,,,44,Cycle 2,Loanable,2211,,,
Arkéo junior n° 45,,,,rien,,Arkéo,,Text;Periodical,,,45,Cycle 2,Loanable,2212,,,
Arkéo junior n° 46,,,,rien,,Arkéo,,Text;Periodical,,,46,Cycle 2,Loanable,2213,,,
Arkéo junior n° 48,,,,rien,,Arkéo,,Text;Periodical,,,48,Cycle 2,Loanable,2214,,,
Arkéo junior n° 49,,,,rien,,Arkéo,,Text;Periodical,,,49,Cycle 2,Loanable,2215,,,
Arkéo junior n° 50,,,,rien,,Arkéo,,Text;Periodical,,,50,Cycle 2,Loanable,2216,,,
Arkéo junior n° 51,,,,rien,,Arkéo,,Text;Periodical,,,51,Cycle 2,Loanable,2217,,,
Arkéo junior n° 52,,,,rien,,Arkéo,,Text;Periodical,,,52,Cycle 2,Loanable,2218,,,
Arkéo junior n° 53,,,,rien,,Arkéo,,Text;Periodical,,,53,Cycle 2,Loanable,2219,,,
Arkéo junior n° 54,,,,rien,,Arkéo,,Text;Periodical,,,54,Cycle 2,Loanable,2220,,,
Arkéo junior n° 55,,,,rien,,Arkéo,,Text;Periodical,,,55,Cycle 2,Loanable,2221,,,
Arkéo junior n° 56,,,,rien,,Arkéo,,Text;Periodical,,,56,Cycle 2,Loanable,2223,,,
Arkéo junior n° 58,,,,rien,,Arkéo,,Text;Periodical,,,58,Cycle 2,Loanable,2224,,,
Arkéo junior n° 59,,,,rien,,Arkéo,,Text;Periodical,,,59,Cycle 2,Loanable,2225,,,
Arkéo junior n° 60,,,,rien,,Arkéo,,Text;Periodical,,,60,Cycle 2,Loanable,2226,,,
Arkéo junior n° 61,,,,rien,,Arkéo,,Text;Periodical,,,61,Cycle 2,Loanable,2227,,,
Arkéo junior n° 61,,,,rien,,Arkéo,,Text;Periodical,,,61,Cycle 2,Loanable,2228,,,
Arkéo junior n° 62,,,,rien,,Arkéo,,Text;Periodical,,,62,Cycle 2,Loanable,2229,,,
Arkéo junior n° 63,,,,rien,,Arkéo,,Text;Periodical,,,63,Cycle 2,Loanable,2230,,,
Arkéo junior n° 64,,,,rien,,Arkéo,,Text;Periodical,,,64,Cycle 2,Loanable,2231,,,
Arkéo junior n° 65,,,,rien,,Arkéo,,Text;Periodical,,,65,Cycle 2,Loanable,2232,,,
Arkéo junior n° 65,,,,rien,,Arkéo,,Text;Periodical,,,65,Cycle 2,Loanable,2233,,,
Arkéo junior n° 66,,,,rien,,Arkéo,,Text;Periodical,,,66,Cycle 2,Loanable,2234,,,
Arkéo junior n° 67,,,,rien,,Arkéo,,Text;Periodical,,,67,Cycle 2,Loanable,2235,,,
Arkéo junior n° 68,,,,rien,,Arkéo,,Text;Periodical,,,68,Cycle 2,Loanable,2236,,,
Arkéo junior n° 69,,,,rien,,Arkéo,,Text;Periodical,,,69,Cycle 2,Loanable,2237,,,
Arkéo junior n° 70,,,,rien,,Arkéo,,Text;Periodical,,,70,Cycle 2,Loanable,2238,,,
Arkéo junior n° 71,,,,rien,,Arkéo,,Text;Periodical,,,71,Cycle 2,Loanable,2239,,,
Arkéo junior n° 72,,,,rien,,Arkéo,,Text;Periodical,,,72,Cycle 2,Loanable,2240,,,
Arkéo junior n° 73,,,,rien,,Arkéo,,Text;Periodical,,,73,Cycle 2,Loanable,2241,,,
Arkéo junior n° 74,,,,rien,,Arkéo,,Text;Periodical,,,74,Cycle 2,Loanable,2222,,,
Arkéo junior n° 75,,,,rien,,Arkéo,,Text;Periodical,,,75,Cycle 2,Loanable,2242,,,
Arkéo junior n° 76,,,,rien,,Arkéo,,Text;Periodical,,,76,Cycle 2,Loanable,2243,,,
Arkéo junior n° 77,,,,rien,,Arkéo,,Text;Periodical,,,77,Cycle 2,Loanable,2244,,,
Arkéo junior n° 78,,,,rien,,Arkéo,,Text;Periodical,,,78,Cycle 2,Loanable,2245,,,
Arkéo junior n° 79,,,,rien,,Arkéo,,Text;Periodical,,,79,Cycle 2,Loanable,2246,,,
Arkéo junior n° 80,,,,rien,,Arkéo,,Text;Periodical,,,80,Cycle 2,Loanable,2247,,,
Arkéo junior n° 81,,,,rien,,Arkéo,,Text;Periodical,,,81,Cycle 2,Loanable,2248,,,
Arkéo junior n° 82,,,,rien,,Arkéo,,Text;Periodical,,,82,Cycle 2,Loanable,2249,,,
Arkéo junior n° 83,,,,rien,,Arkéo,,Text;Periodical,,,83,Cycle 2,Loanable,2250,,,
Arkéo junior n° 84,,,,rien,,Arkéo,,Text;Periodical,,,84,Cycle 2,Loanable,2251,,,
Arkéo junior n° 84,,,,rien,,Arkéo,,Text;Periodical,,,84,Cycle 2,Loanable,2252,,,
Arkéo junior n° 85,,,,rien,,Arkéo,,Text;Periodical,,,85,Cycle 2,Loanable,2253,,,
Arkéo junior n° 86,,,,rien,,Arkéo,,Text;Periodical,,,86,Cycle 2,Loanable,2254,,,
Arkéo junior n° 87,,,,rien,,Arkéo,,Text;Periodical,,,87,Cycle 2,Loanable,2255,,,
Arkéo junior n° 88,,,,rien,,Arkéo,,Text;Periodical,,,88,Cycle 2,Loanable,2256,,,
Arkéo junior n° 89,,,,rien,,Arkéo,,Text;Periodical,,,89,Cycle 2,Loanable,2257,,,
Arkéo junior n° 90,,,,rien,,Arkéo,,Text;Periodical,,,90,Cycle 2,Loanable,2258,,,
Arkéo junior n° 91,,,,rien,,Arkéo,,Text;Periodical,,,91,Cycle 2,Loanable,2259,,,
Arkéo junior n° 92,,,,rien,,Arkéo,,Text;Periodical,,,92,Cycle 2,Loanable,2260,,,
Arkéo junior n° 93,,,,rien,,Arkéo,,Text;Periodical,,,93,Cycle 2,Loanable,2261,,,
Arkéo junior n° 94,,,,rien,,Arkéo,,Text;Periodical,,,94,Cycle 2,Loanable,2262,,,
Arkéo junior n° 95,,,,rien,,Arkéo,,Text;Periodical,,,95,Cycle 2,Loanable,2263,,,
Arkéo junior n° 96,,,,rien,,Arkéo,,Text;Periodical,,,96,Cycle 2,Loanable,2264,,,
Arkéo junior n° 98,,,,rien,,Arkéo,,Text;Periodical,,,98,Cycle 2,Loanable,2265,,,
Arkéo junior n° 99,,,,rien,,Arkéo,,Text;Periodical,,,99,Cycle 2,Loanable,2266,,,
Arkéo junior n° 100,,,,rien,,Arkéo,,Text;Periodical,,,100,Cycle 2,Loanable,2267,,,
Arkéo junior n° 101,,,,rien,,Arkéo,,Text;Periodical,,,101,Cycle 2,Loanable,2268,,,
Arkéo junior n° 102,,,,rien,,Arkéo,,Text;Periodical,,,102,Cycle 2,Loanable,2269,,,
Arkéo junior n° 103,,,,rien,,Arkéo,,Text;Periodical,,,103,Cycle 2,Loanable,2270,,,
Arkéo junior n° 104,,,,rien,,Arkéo,,Text;Periodical,,,104,Cycle 2,Loanable,2271,,,
Arkéo junior n° 105,,,,rien,,Arkéo,,Text;Periodical,,,105,Cycle 2,Loanable,2272,,,
Arkéo junior n° 106,,,,rien,,Arkéo,,Text;Periodical,,,106,Cycle 2,Loanable,2273,,,
Arkéo junior n° 107,,,,rien,,Arkéo,,Text;Periodical,,,107,Cycle 2,Loanable,2274,,,
Arkéo junior n° 108,,,,rien,,Arkéo,,Text;Periodical,,,108,Cycle 2,Loanable,2275,,,
Arkéo junior n° 109,,,,rien,,Arkéo,,Text;Periodical,,,109,Cycle 2,Loanable,2276,,,
Arkéo junior n° 110,,,,rien,,Arkéo,,Text;Periodical,,,110,Cycle 2,Loanable,2277,,,
Arkéo junior n° 111,,,,rien,,Arkéo,,Text;Periodical,,,111,Cycle 2,Loanable,2278,,,
Arkéo junior n° 112,,,,rien,,Arkéo,,Text;Periodical,,,112,Cycle 2,Loanable,2279,,,
Arkéo junior n° 113,,,,rien,,Arkéo,,Text;Periodical,,,113,Cycle 2,Loanable,2280,,,
Arkéo junior n° 114,,,,rien,,Arkéo,,Text;Periodical,,,114,Cycle 2,Loanable,2281,,,
Arkéo junior n° 115,,,,rien,,Arkéo,,Text;Periodical,,,115,Cycle 2,Loanable,2283,,,
Arkéo junior n° 116,,,,rien,,Arkéo,,Text;Periodical,,,116,Cycle 2,Loanable,2285,,,
Arkéo junior n° 117,,,,rien,,Arkéo,,Text;Periodical,,,117,Cycle 2,Loanable,2286,,,
Arkéo junior n° 118,,,,rien,,Arkéo,,Text;Periodical,,,118,Cycle 2,Loanable,2287,,,
Arkéo junior n° 119,,,,rien,,Arkéo,,Text;Periodical,,,119,Cycle 2,Loanable,2288,,,
Arkéo junior n° 120,,,,rien,,Arkéo,,Text;Periodical,,,120,Cycle 2,Loanable,2289,,,
Arkéo junior n° 121,,,,rien,,Arkéo,,Text;Periodical,,,121,Cycle 2,Loanable,2290,,,
Arkéo junior n° 122,,,,rien,,Arkéo,,Text;Periodical,,,122,Cycle 2,Loanable,2291,,,
Arkéo junior n° 123,,,,rien,,Arkéo,,Text;Periodical,,,123,Cycle 2,Loanable,2292,,,
Arkéo junior n° 124,,,,rien,,Arkéo,,Text;Periodical,,,124,Cycle 2,Loanable,2293,,,
Arkéo junior n° 125,,,,rien,,Arkéo,,Text;Periodical,,,125,Cycle 2,Loanable,2294,,,
Arkéo junior n° 126,,,,rien,,Arkéo,,Text;Periodical,,,126,Cycle 2,Loanable,2295,,,
Arkéo junior n° 127,,,,rien,,Arkéo,,Text;Periodical,,,127,Cycle 2,Loanable,2296,,,
Arkéo junior n° 128,,,,rien,,Arkéo,,Text;Periodical,,,128,Cycle 2,Loanable,2297,,,
Arkéo junior n° 129,,,,rien,,Arkéo,,Text;Periodical,,,129,Cycle 2,Loanable,2298,,,
Arkéo junior n° 130,,,,rien,,Arkéo,,Text;Periodical,,,130,Cycle 2,Loanable,2299,,,
Arkéo junior n° 131,,,,rien,,Arkéo,,Text;Periodical,,,131,Cycle 2,Loanable,2300,,,
Arkéo junior n° 132,,,,rien,,Arkéo,,Text;Periodical,,,132,Cycle 2,Loanable,2301,,,
Arkéo junior n° 133,,,,rien,,Arkéo,,Text;Periodical,,,133,Cycle 2,Loanable,2302,,,
Arkéo junior n° 134,,,,rien,,Arkéo,,Text;Periodical,,,134,Cycle 2,Loanable,2282,,,
Arkéo junior n° 135,,,,rien,,Arkéo,,Text;Periodical,,,135,Cycle 2,Loanable,2284,,,
Arkéo junior n° 136,,,,rien,,Arkéo,,Text;Periodical,,,136,Cycle 2,Loanable,2303,,,
Arkéo junior n° 137,,,,rien,,Arkéo,,Text;Periodical,,,137,Cycle 2,Loanable,2304,,,
Arkéo junior n° 138,,,,rien,,Arkéo,,Text;Periodical,,,138,Cycle 2,Loanable,2305,,,
Arkéo junior n° 139,,,,rien,,Arkéo,,Text;Periodical,,,139,Cycle 2,Loanable,2306,,,
Arkéo junior n° 140,,,,rien,,Arkéo,,Text;Periodical,,,140,Cycle 2,Loanable,2307,,,
Arkéo junior n° 141,,,,rien,,Arkéo,,Text;Periodical,,,141,Cycle 2,Loanable,2308,,,
Arkéo junior n° 142,,,,rien,,Arkéo,,Text;Periodical,,,142,Cycle 2,Loanable,2309,,,
Arkéo junior n° 143,,,,rien,,Arkéo,,Text;Periodical,,,143,Cycle 2,Loanable,2310,,,
Arkéo junior n° 144,,,,rien,,Arkéo,,Text;Periodical,,,144,Cycle 2,Loanable,2311,,,
Arkéo junior n° 145,,,,rien,,Arkéo,,Text;Periodical,,,145,Cycle 2,Loanable,2312,,,
Arkéo junior n° 146,,,,rien,,Arkéo,,Text;Periodical,,,146,Cycle 2,Loanable,2313,,,
Arkéo junior n° 147,,,,rien,,Arkéo,,Text;Periodical,,,147,Cycle 2,Loanable,2314,,,
Arkéo junior n° 148,,,,rien,,Arkéo,,Text;Periodical,,,148,Cycle 2,Loanable,2315,,,
Arkéo junior n° 149,,,,rien,,Arkéo,,Text;Periodical,,,149,Cycle 2,Loanable,2316,,,
Arkéo junior n° 150,,,,rien,,Arkéo,,Text;Periodical,,,150,Cycle 2,Loanable,2317,,,
Arkéo junior n° 151,,,,rien,,Arkéo,,Text;Periodical,,,151,Cycle 2,Loanable,2318,,,
Arkéo junior n° 152,,,,rien,,Arkéo,,Text;Periodical,,,152,Cycle 2,Loanable,2319,,,
Arkéo junior n° 153,,,,rien,,Arkéo,,Text;Periodical,,,153,Cycle 2,Loanable,2320,,,
Le Petit Léonard n°116,,,,rien,,Faton,,Text;Periodical,,Le Petit Léonard,116,Cycle 2,Loanable,2321,,,
Geo ado n° 78,,,,rien,,Milan presse,,Text;Periodical,,,78,Cycle 2,Loanable,2322,,,
Geo ado n° 79,,,,rien,,Milan presse,,Text;Periodical,,,79,Cycle 2,Loanable,2323,,,
La tempête,9782211010931,"Seyvos, Florence","Ponti, Claude",histoire d'animaux|tempête|v,"La tempête emporte la maison de Clarisse. Elle et ses parents ont organisé leur survie dans le lit, qui devient un bateau",Ecole des loisirs,1995,Text,"quand le calme revient, un voyage s'annonce.",Albums,,Cycle 1,Loanable,2324,800.000,,
Petit prince Pouf,9782211066853,"Desarthe, Agnés","Ponti, Claude",école|humour,"Pour la rentrée, une histoire qui devrait inquiéter les parents... Le Prince Pouf, tout rond et dont le nom n'est pas très facile à porter, doit étudier. Le roi et la reine lui désignent Monsieur Ku comme professeur. Au programme de son apprentissage, des leçons non traditionnelles : apprendre à compter jusqu'à deux, à faire des boudins en pâte à modeler... Un régal !",Ecole des loisirs,2002,Text,76 pages,Albums,,Cycle 2,Loanable,2325,800.000,,
La revanche de Lili Prune,2211073441,"Ponti, Claude",,histoire d'animaux,"À la naissance de Lili Prune, personne dans son village ne s’aperçut qu’elle était une petite fille extraordinaire. À peine née, elle inventa le jour, la nuit, la nourriture, et bientôt le soleil, les planètes, le haut, le bas et le jet d’eau dans tous les sens. Mais on lui dit que ça existait déjà. Un peu plus tard, elle inventa l’eau chaude, l’eau froide, l’eau tiède un peu chaude, l’eau tiède un peu froide. Elle inventa aussi le manège et même une machine volante pour se promener dans le ciel. Mais on lui dit que ça existait déjà et que c’était sans intérêt. Alors Lili Prune quitta son village et partit faire d’autres inventions ailleurs. Un jour, pourtant, elle reviendrait. Et ce jour-là, la somme de toutes les inventions qu’elle avait faites allait sauver son village - et le monde. Mais cela, personne ne pouvait le savoir, même pas elle.",Ecole des loisirs,2003,Text,52 pages,Albums,,Cycle 3,Loanable,2326,800.000,,
L'arbre sans fin,9782211061568,"Ponti, Claude","Ponti, Claude",aventures|imaginaire,"Hipollène est presque grande et son père a décidé de lui apprendre tous les secrets de la chasse aux glousses. Ils habitent dans l'Arbre sans fin. Au bout d'une branche il y a toujours une autre branche. Grand-Mère sait tout de l'arbre. Grand-Mère meurt, l'arbre pleure. Hipollène se cache dans sa maison secrète. Elle est si triste qu'elle se transforme en larme, et c'est le début de son immense voyage.",Ecole des loisirs,1995,Text,,Albums,,Cycle 2,Loanable,2327,800.000,,
La nuit des Zéfirottes,2211085814,"Ponti, Claude",,magie,"Oubliez vos certitudes. De Paris, vous ne connaissez que la partie émergée de l’iceberg. Sous l’asphalte, il y a le monde des Zéfirottes. Sachez d’abord que Paris est entièrement gonflable, comme toutes les constructions humaines, et s’effondrerait sans la technologie sophistiquée et les efforts constants des Zéfirottes. Sans les Zéfirottes, qui sont là depuis toujours, les humains n’iraient pas bien loin. Même la Terre est pilotée par un Zéfirotte. Mais cette nuit, Paris est en danger, et les Zéfirottes ont besoin d’aide. Non loin de Notre-Dame, une petite fille dort dans sa chambre, elle s’appelle Adèle. Elle seule peut aider les Zéfirottes à vaincre la monstrueuse mauvaise herbe qui prolifère sous Paris et paralyse peu à peu leurs machines. Mais il faut faire très vite… Une visite époustouflante de et sous Paris. C’est l’un des livres les plus foisonnants et les plus impressionnants de Claude Ponti.",Ecole des loisirs,2006,Text,30 pages,Albums,,Cycle 3,Loanable,2329,800.000,,
Wiggins et le perroquet muet,2841462331,"Nicomède, Béatrice",,policier|Europe : géographie,"Non, ce n'est pas Sherlock Holmes, le détective privé bien connu qui a résolu nombre d'énigmes. C'est Wiggins, un enfant des rues de Londres dans les bas quartiers de la ville.",Syros,1995,Text,80 pages,Souris noire,,Cours moyen,Loanable,2330,800.000,,
Le petit humain,9782070553075,"Serres, Alain","Tonnac, Anne",histoire d'animaux,"Tim et Tom, les hippopotames, ont apporté une étrange surprise à l'école des animaux sauvages un petit humain. Leur maîtresse improvise aussitôt une leçon de sciences naturelles. Mais le petit humain n'apprécie guère d'être observé comme une bête curieuse et n'a qu'une envie rentrer chez lui. Heureusement, les maîtresses savent aussi lire dans les yeux. Une histoire tendre et loufoque pour comprendre la différence",Gallimard,2003,Text,45 pages,Folio cadet,,Cycle 2,Loanable,2331,800.000,,
Dico Dingo,9782092507025,"Garnier, Pascal","Gerner, Jochen",humour,"Une place pour chaque chose et chaque chose à sa place.  C'est comme cela chez les Robert ! Mais Robert Robert a fait tomber le dictionnaire : plaf ! tous les mots sont par terre. Depuis, c'est la pagaille chez les Robert...",Nathan,2005,Text,38 pages,Nathan poche,21,Pré-élémentaire,Loanable,2332,800.000,,
Terriblement vert !,9782092507056,"Ben Kemoun, Hubert","Roca, François",histoire d'enfants,"Oncle Julius a rapporté des graines de son dernier voyage aux quatre coins du monde. Mais conserver des graines exotiques au réfrigérateur, c'est risqué. Surtout quand elles sont rarissimes et qu'elles ressemblent à des bonbons...",Nathan,2005,Text,42 pages,Nathan poche,24,Cycle 3,Loanable,2333,800.000,,
La violence et la non-violence,,"Labbé, Brigitte","Puech, Michel",violence,,Milan,,Text,,Les goûters philo,18,Cycle 3,Loanable,2334,320.000,,
La vie et la mort,2-7459-0176-1,"Labbé, Brigitte","Puech, Michel",citoyenneté,"Le caillou ne meurt pas, parce qu'il ne change pas. Il ne meurt pas, parce qu'il ne vit pas. Tout ce qui change, tout ce qui grandit, tout ce qui pousse, meurt : tout ce qui vit, meurt. C'est drôle à dire, mais nous mourrons parce que nous vivons.",Milan,2000,Text,39,Les goûters philo,1,Elémentaire,Loanable,2335,320.000,,
La nature et la pollution,,"Labbé, Brigitte","Puech, Michel",écologie,,Milan,,Text,,Les goûters philo,15,Elémentaire,Loanable,2336,300.000,,
Libre et pas libre,2745903217,"Labbé, Brigitte","Puech, Michel",éducation civique,"Nous pouvons refuser les contraintes, les obligations, nous pouvons être obsédés par la liberté, ne penser qu'à garder notre liberté, à en avoir le plus possible. Mais nous pouvons aussi l'utiliser pour faire des choix qui nous font découvrir des plaisirs, des joies, des gens... Et alors la liberté devient un moyen, un moyen de construire notre bonheur, un bonheur dont nous sommes responsables.",Milan,2001,Text,40 pages,Les goûters philo,13,Elémentaire,Loanable,2337,320.000,,
La justice et l'injustice,2745902296,"Labbé, Brigitte","Puech, Michel",citoyenneté,"Patrick : ""C'est pas juste, comme Marianne est plus petite vous prenez toujours sa défense, il suffit qu'elle pleure et vous lui passez tout"". Marianne : ""C'est pas juste, comme Patrick est plus grand vous lui permettez tout, il peut voir des séries et moi rien que des dessins animés de bébé"". Difficile de discerner le juste de l'injuste quand on est un enfant : l'enfant, tout comme nombre d'adultes, aura tendance à penser que l'injustice est ce qui le pénalise...",Milan,2001,Text,40 pages,Les goûters philo,9,Elémentaire,Loanable,2338,320.000,,
Le bonheur et le malheur,2745904337,"Labbé, Brigitte",,citoyenneté,"C'est facile d'être malheureux : il suffit de penser à des choses tristes qui sont arrivées dans le passé ou même qui pourraient arriver. Il y en a toujours. Et c'est pratique d'être malheureux : on peut se faire plaindre, et on a une bonne raison pour ne pas faire d'efforts : on est trop malheureux ! Alors, le premier problème du bonheur, c'est qu'il faut vouloir être heureux, il faut avoir envie de faire des efforts pour être heureux, et c'est plus difficile que de se contenter d'être malheureux.",Milan,2001,Text,40 pages,Les goûters philo,,Elémentaire,Loanable,2339,320.000,,
Joker,9782211051743,"Morgenstern, Susie",,histoire d'enfants,"Un joker pour rester au lit.Un joker pour être en retard à l'école.Un joker pour ne pas faire ses devoirs.Etc.Non, ce n'est pas une liste de réclamations écrite par un élève naïf et paresseux. C'est comme ça que ça se passe dans la classe d'Hubert Noël.Et ne croyez pas non plus qu'Hubert soit un instituteur paresseux. Au contraire, il a décidé d'apprendre énormément de choses à ses élèves. Des choses qui ne sont pas toujours au programme, mais qui sont indispensables pour aimer la vie.Un livre pour les enfants qui aiment déjà lire tout seuls.",Ecole des loisirs,1999,Text,,Mouche,,Cycle 2,Loanable,2340,800.000,,
La vallée des dinosaures,9782747018340,"Pope Osborne, Mary","Masson, Philippe",aventures|préhistoire|dinosa,"La vallée des dinosaures Tom et sa soeur, Léa, sont projetés au temps des dinosaures. Ils explorent pas à pas un monde peuplé de créatures bizarres et gigantesques, jusqu'au moment où ils se retrouvent face au tyrannosaure, un animal particulièrement féroce... Trouve l'indice caché dans chaque aventure de Tom et Léa et découvre qui est le mystérieux propriétaire de la Cabane magique.",Bayard poche,2004,Text,75 pages,La cabane magique,1,Elémentaire,Loanable,2341,800.000,,
Un tueur à ma porte,9782747019088,"Drozd, Irina",,histoire d'enfants|policier,"Daniel s'est brûlé les yeux lors d'un séjour aux sports d'hiver. Quelques jours après son retour, il est réveillé en pleine nuit par un cri et des râles venant de la rue. Y aurait-il un blessé ? Daniel se précipite à la fenêtre, mais il ne voit rien. L'assassin, lui, l'a très bien vu... Et il n'a pas l'intention de laisser un témoin aussi gênant lui échapper !",Bayard poche,2005,Text,78 pages,,103,Cycle 3,Loanable,2342,800.000,,
Menaces dans la nuit,,"Villard, Marc",,policier,,Syros,,Text,,Mini Syros,,Cycle 3,Loanable,2343,800.000,,
